案件編號,發生日期,GPS經度,GPS緯度,案件類別名稱,地址類型名稱,發生縣市名稱,受傷人數,天候名稱, 速限-第1當事者,道路型態大類別名稱,事故位置大類別名稱,號誌-號誌種類名稱,事故類型及型態大類別名稱,肇因研判子類別名稱-主要
11001AC191B3881,20210118,120.231527,22.998653,交通事故,其他,臺南市東區段號小東路316號路邊停車格前,1,晴,40,單路部分,路段,無號誌,車與車,不明原因肇事
11001AC191B3882,20210122,120.248658,22.986656,交通事故,其他,臺南市東區段號裕德街21QW28路燈桿,1,晴,50,單路部分,路段,無號誌,汽(機)車本身,不明原因肇事
11001AC191B3883,20210128,120.21694,22.987103,交通事故,一般地址,臺南市東區東門路1段298號,1,晴,40,圓環廣場,路段,無號誌,車與車,未依規定讓車
11001AC191B3884,20210128,120.231011,22.965744,交通事故,一般地址,臺南市東區生產路段560號0,2,晴,40,單路部分,路段,無號誌,車與車,裝載貨物不穩妥
11001AC191B3891,20210129,120.224294,22.976255,交通事故,交叉路口,臺南市東區崇德路段號崇德四街,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,違反號誌管制或指揮
11001AC191B3893,20210131,120.234101,22.971278,交通事故,一般地址,臺南市東區仁和路段11143號,3,晴,30,交岔路,交叉路口,無號誌,車與車,未注意車前狀態
11001AC191B3932,20210106,120.232552,22.998434,交通事故,一般地址,臺南市東區小東路段338號,1,晴,40,單路部分,路段,無號誌,車與車,未依規定讓車
11001AC191B3933,20210115,120.238189,22.992734,交通事故,交叉路口,臺南市東區平實路段號後甲三街,1,晴,30,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC1O1B2359,20210121,120.214052,22.999097,交通事故,其他,臺南市東區段號前鋒路北往南機車道,3,晴,50,單路部分,路段,無號誌,車與車,違反特定標誌(線)禁制
11001AC1O1B2370,20210124,120.226363,22.983056,交通事故,其他,臺南市東區崇學路段號崇信街崇學路與崇信街口,2,晴,50,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC1O1B2466,20210125,120.223855,22.993534,交通事故,其他,臺南市東區段號林森路二段與長榮路三段66巷口,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,煞車失靈
11001AC1O1B2548,20210126,120.231874,22.986113,交通事故,其他,臺南市東區段號裕農路446巷與裕農路446巷70弄口,1,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC1O1B2907,20210126,120.236679,22.987427,交通事故,其他,臺南市東區段號裕農路668巷37號前,1,晴,30,交岔路,交叉路口,閃光號誌,汽(機)車本身,未注意車前狀態
11001AC1O1B3125,20210130,120.230858,22.969796,交通事故,其他,臺南市東區段號崇善路687號前,1,晴,50,單路部分,路段,行車管制號誌,車與車,未保持行車安全距離
11001AC1O1B3216,20210130,120.226623,22.984498,交通事故,其他,臺南市東區段號裕豐街35號前,1,晴,30,單路部分,路段,無號誌,人與汽(機)車,未注意車前狀態
11001AC1O1B3246,20210131,120.215095,22.987779,交通事故,交叉路口,臺南市東區東門路1段號東榮街,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC1R1B2826,20210122,120.216732,22.991324,交通事故,一般地址,臺南市東區青年路段443號,1,晴,50,單路部分,路段,無號誌,車與車,未注意車前狀態
11001AC1R1B2831,20210123,120.221151,22.977922,交通事故,交叉路口,臺南市東區崇學路段號崇學路20,1,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC1R1B2845,20210126,120.230004,22.986105,交通事故,交叉路口,臺南市東區裕農路段288號裕農路350,1,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC1R1B3056,20210127,120.222951,22.987102,交通事故,交叉路口,臺南市東區林森路2段號衛國街,4,晴,40,交岔路,交叉路口,行車管制號誌,車與車,違反號誌管制或指揮
11001AC1R1B3182,20210129,120.231901,22.986461,交通事故,交叉路口,臺南市東區中華東路2段48號裕農路446,2,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC1R1B3554,20210126,120.2123,22.980947,交通事故,交叉路口,臺南市東區林森路段號大同路,1,晴,40,單路部分,路段,無號誌,車與車,未注意車前狀態
11001AC1R1B3566,20210130,120.213877,22.981328,交通事故,一般地址,臺南市東區林森路1段132號2,1,晴,40,交岔路,交叉路口,無號誌,車與車,逆向行駛
11001AC1R1B3604,20210123,120.23431,22.977559,交通事故,交叉路口,臺南市東區東門路3段號富農街1,1,晴,40,交岔路,交叉路口,行車管制號誌,汽(機)車本身,尚未發現肇事因素
11001AC1R1B3653,20210122,120.212594,22.994392,交通事故,交叉路口,臺南市東區民族路段號前鋒路,1,雨,40,單路部分,路段,行車管制號誌,汽(機)車本身,其他引起事故之違規或不當行為
11001AC1R1B3957,20210122,120.216925,22.987222,交通事故,交叉路口,臺南市東區東門路1段號東門城圓環,2,陰,40,圓環廣場,路段,無號誌,車與車,右轉彎未依規定
11001AC291A0006,20210109,120.195274,22.995693,交通事故,交叉路口,臺南市中西區民生路2段號康樂街,0,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC291A0011,20210117,120.211739,22.981246,交通事故,一般地址,臺南市中西區健康路1段10號,0,晴,50,單路部分,路段,無號誌,車與車,未保持行車安全間隔
11001AC291B0001,20210101,120.204576,22.992504,交通事故,交叉路口,臺南市中西區民生綠園圓環段號中正路,1,晴,40,交岔路,交叉路口,行車管制號誌,車與車,未注意車前狀態
11001AC291B0014,20210101,120.186905,22.992656,交通事故,交叉路口,臺南市中西區中華西路2段號府前路2,1,晴,60,交岔路,交叉路口,行車管制號誌,車與車,未保持行車安全間隔
11001AC291B0025,20210101,120.193904,22.99607,交通事故,交叉路口,臺南市中西區民生路2段號金華路3,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC291B0051,20210101,120.21148,22.990174,交通事故,交叉路口,臺南市中西區北門路1段51號北門路1,1,晴,50,交岔路,交叉路口,無號誌,車與車,違反特定標誌(線)禁制
11001AC291B0074,20210102,120.203705,22.992088,交通事故,其他,臺南市中西區段號中正路與中正路5巷口東側,1,晴,50,單路部分,路段,無號誌,車與車,未注意車前狀態
11001AC291B0119,20210102,120.195969,22.993207,交通事故,交叉路口,臺南市中西區海安路2段號中正路,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC291B0123,20210102,120.209913,22.986214,交通事故,交叉路口,臺南市中西區開山路段號樹林街,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未注意車前狀態
11001AC291B0151,20210103,120.204608,22.989037,交通事故,交叉路口,臺南市中西區南門路段號府前路,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未保持行車安全距離
11001AC291B0166,20210103,120.207763,22.988932,交通事故,交叉路口,臺南市中西區開山路段號府前路1,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未保持行車安全距離
11001AC291B0172,20210101,120.208284,22.991247,交通事故,交叉路口,臺南市中西區民權路段號府中街,2,晴,50,交岔路,其他,無號誌,人與汽(機)車,搶越行人穿越道
11001AC291B0174,20210101,120.184685,22.999163,交通事故,交叉路口,臺南市中西區民權路段號頂美二街,3,晴,50,交岔路,交叉路口,行車管制號誌,汽(機)車本身,未注意車前狀態
11001AC291B0178,20210104,120.204619,22.985442,交通事故,一般地址,臺南市中西區南門路段1871號,2,晴,30,交岔路,交叉路口,無號誌,車與車,未依規定讓車
11001AC291B0192,20210104,120.193935,22.996201,交通事故,交叉路口,臺南市中西區金華路段號民生路,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未注意車前狀態
11001AC291B0195,20210102,120.18692,23.002369,交通事故,其他,臺南市中西區段號中華西路(宜得利家具前),1,晴,50,交岔路,交叉路口,閃光號誌,車與車,未依規定讓車
11001AC291B0211,20210104,120.19453,22.997766,交通事故,交叉路口,臺南市中西區民權路段號金華路,1,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未保持行車安全間隔
11001AC291B0228,20210104,120.205411,22.994266,交通事故,交叉路口,臺南市中西區民權路段號公園路,3,晴,50,交岔路,交叉路口,行車管制號誌,車與車,未依規定讓車
11001AC291B0244,20210104,120.200112,22.985061,交通事故,交叉路口,臺南市中西區永福路1段號永福路1275,1,晴,50,交岔路,交叉路口,無號誌,車與車,右轉彎未依規定
11001AC291B0282,20210105,120.20543,22.994517,交通事故,一般地址,臺南市中西區公園路段39號,1,晴,50,單路部分,路段,無號誌,車與車,其他引起事故之違規或不當行為
